epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4368,2.2978,3.4533,2.42279,0.16682,0.00086,0,0,4.54562,inf,7.83982,0.00331481,0.00331481,0.0701667
2,104.78,2.17309,3.1512,2.29215,0.00101,0.12725,0.00038,7e-05,3.75809,17.8268,4.24666,0.00661524,0.00661524,0.0401338
3,156.513,2.05574,2.84351,2.17229,0.0024,0.01001,0.00077,0.00022,3.6397,12.0255,4.51466,0.00988266,0.00988266,0.0100679
4,208.262,1.9864,2.67458,2.10921,0.52244,0.11485,0.10459,0.03433,2.38935,3.99076,2.55613,0.0098515,0.0098515,0.0098515
5,260.122,1.92356,2.50256,2.03496,0.71048,0.08085,0.04214,0.01118,2.92604,4.76658,3.01666,0.009802,0.009802,0.009802
6,310.8,1.90098,2.43737,1.99859,0.28277,0.17313,0.09699,0.0353,2.48548,3.57253,2.7086,0.0097525,0.0097525,0.0097525
7,362.377,1.86272,2.37231,1.95969,0.38022,0.3463,0.22857,0.08449,2.25721,2.55591,2.33468,0.009703,0.009703,0.009703
8,414.43,1.84362,2.32896,1.94988,0.35738,0.21677,0.18383,0.07198,2.62202,3.39484,2.91196,0.0096535,0.0096535,0.0096535
9,465.452,1.80156,2.31429,1.90812,0.64421,0.17847,0.17643,0.06964,2.54653,3.20161,2.75777,0.009604,0.009604,0.009604
10,515.676,1.79684,2.20822,1.87238,0.45114,0.27816,0.22255,0.07749,2.32857,3.10228,2.39577,0.0095545,0.0095545,0.0095545
11,566.877,1.79887,2.21456,1.90096,0.7279,0.29012,0.36208,0.15338,2.07931,2.30255,2.17598,0.009505,0.009505,0.009505
12,618.926,1.76955,2.15536,1.87024,0.44681,0.27926,0.22588,0.07855,2.41386,2.81674,2.4712,0.0094555,0.0094555,0.0094555
13,669.16,1.77158,2.14594,1.85351,0.53463,0.32476,0.38294,0.15892,2.04296,2.43873,2.15637,0.009406,0.009406,0.009406
14,720.722,1.75326,2.11969,1.84994,0.21575,0.42694,0.22409,0.08043,2.23925,2.69883,2.34592,0.0093565,0.0093565,0.0093565
15,770.846,1.72881,2.05644,1.83783,0.71971,0.05442,0.04654,0.01763,3.00763,5.64823,3.20928,0.009307,0.009307,0.009307
16,821.818,1.72546,2.00628,1.82358,0.35116,0.23753,0.20867,0.08184,2.37459,2.79043,2.49158,0.0092575,0.0092575,0.0092575
17,872.43,1.70008,2.03387,1.80819,0.44667,0.18211,0.1204,0.05119,2.41744,3.51179,2.72343,0.009208,0.009208,0.009208
18,922.597,1.69997,2.0303,1.81301,0.23246,0.34895,0.26049,0.1144,2.16315,2.5904,2.34733,0.0091585,0.0091585,0.0091585
19,973.06,1.68719,1.96421,1.79349,0.29913,0.41564,0.35374,0.14136,2.06367,2.30727,2.15843,0.009109,0.009109,0.009109
20,1023.34,1.68485,1.9737,1.78725,0.54135,0.36269,0.38982,0.17031,1.99238,2.13657,2.13761,0.0090595,0.0090595,0.0090595
21,1075.24,1.70714,1.98312,1.80254,0.58103,0.35858,0.40306,0.17061,2.02283,2.01617,2.10755,0.00901,0.00901,0.00901
22,1127.15,1.68266,1.93723,1.76847,0.32842,0.46921,0.40541,0.17833,1.96317,2.01155,2.0839,0.0089605,0.0089605,0.0089605
23,1179.17,1.67071,1.92924,1.77243,0.35019,0.42377,0.40303,0.17558,1.93593,2.1113,2.06863,0.008911,0.008911,0.008911
24,1229.2,1.65999,1.89445,1.76575,0.39635,0.46344,0.4064,0.17237,2.0193,2.13673,2.15114,0.0088615,0.0088615,0.0088615
25,1279.52,1.67001,1.86637,1.77429,0.535,0.3344,0.39484,0.17363,1.90383,2.09369,2.06601,0.008812,0.008812,0.008812
26,1329.57,1.64965,1.90061,1.75985,0.29955,0.40932,0.30575,0.12332,2.19047,2.50403,2.22695,0.0087625,0.0087625,0.0087625
27,1379.94,1.60293,1.84825,1.71608,0.24175,0.34453,0.19087,0.08676,2.48592,4.5173,2.60793,0.008713,0.008713,0.008713
28,1429.95,1.61403,1.8005,1.72811,0.39286,0.56237,0.44227,0.19588,1.93062,2.2026,2.04099,0.0086635,0.0086635,0.0086635
29,1482.59,1.63015,1.78931,1.7015,0.3743,0.32952,0.32395,0.14187,2.12047,2.70406,2.25766,0.008614,0.008614,0.008614
30,1533.27,1.63787,1.87497,1.74503,0.2552,0.19152,0.1598,0.0758,2.32955,3.95293,2.41139,0.0085645,0.0085645,0.0085645
31,1583.97,1.60221,1.77665,1.70505,0.31028,0.39191,0.34267,0.15712,2.0478,2.37651,2.13436,0.008515,0.008515,0.008515
32,1634.23,1.59212,1.79533,1.72133,0.7369,0.20784,0.25704,0.11446,2.33884,3.26238,2.54151,0.0084655,0.0084655,0.0084655
33,1684.45,1.60378,1.81823,1.71475,0.38347,0.46853,0.41791,0.18735,1.94453,2.09031,2.07779,0.008416,0.008416,0.008416
34,1735.16,1.61077,1.78731,1.72446,0.45065,0.2921,0.2383,0.08343,2.27778,2.64191,2.38491,0.0083665,0.0083665,0.0083665
35,1785.23,1.60858,1.77109,1.71073,0.34317,0.44098,0.40012,0.17828,1.9685,2.04198,2.05076,0.008317,0.008317,0.008317
36,1836.1,1.58523,1.74522,1.69087,0.28668,0.35137,0.28207,0.1246,2.14278,2.67977,2.31705,0.0082675,0.0082675,0.0082675
