epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3715,2.08709,3.06097,2.13118,0.01287,0.27516,0.00859,0.00187,3.38048,inf,6.45,0.0032963,0.0032963,0.0703333
2,37.921,2.07555,2.71271,2.12743,0.33612,0.02159,0.00171,0.00043,3.94047,54.3787,6.75464,0.00659681,0.00659681,0.0403005
3,53.2598,2.03018,2.53585,2.02014,0.42291,0.09947,0.02565,0.00937,3.1507,4.89598,3.64041,0.00986433,0.00986433,0.0102347
4,68.7775,1.91715,2.39215,1.97206,0.39053,0.07895,0.02383,0.00526,2.94445,10.2144,3.31148,0.0098515,0.0098515,0.0098515
5,83.871,1.87223,2.27106,1.90541,0.35361,0.17341,0.16354,0.06593,2.43319,3.45588,3.16281,0.009802,0.009802,0.009802
6,99.7932,1.85555,2.20488,1.88755,0.38681,0.28672,0.20756,0.07842,2.62935,2.7643,2.83142,0.0097525,0.0097525,0.0097525
7,115.861,1.85641,2.17235,1.9107,0.54803,0.23174,0.19129,0.07342,2.23193,3.34462,2.49433,0.009703,0.009703,0.009703
8,130.889,1.80583,2.09419,1.82825,0.39445,0.46441,0.37601,0.15481,2.08477,2.42092,2.29075,0.0096535,0.0096535,0.0096535
9,145.893,1.76376,2.06281,1.79736,0.56529,0.29813,0.26412,0.10009,2.29789,2.74113,2.53127,0.009604,0.009604,0.009604
10,160.978,1.74845,1.97101,1.78012,0.3866,0.25584,0.18777,0.07364,2.37681,3.33607,2.60153,0.0095545,0.0095545,0.0095545
11,175.878,1.73534,1.96969,1.76164,0.76057,0.06304,0.11037,0.04578,2.51517,4.26662,2.7568,0.009505,0.009505,0.009505
12,191.103,1.73538,1.97506,1.78166,0.66047,0.17943,0.1113,0.03913,2.55934,4.32892,3.15322,0.0094555,0.0094555,0.0094555
13,206.095,1.71309,1.91151,1.73973,0.48569,0.39858,0.34132,0.14068,2.16941,2.44032,2.45762,0.009406,0.009406,0.009406
14,221.073,1.69111,1.91297,1.74257,0.60185,0.39153,0.39985,0.15998,2.00005,2.42341,2.15149,0.0093565,0.0093565,0.0093565
15,235.97,1.68626,1.90043,1.72567,0.74605,0.07611,0.08812,0.03455,2.46455,4.40902,2.84095,0.009307,0.009307,0.009307
16,254.396,1.73514,1.93704,1.75542,0.41186,0.26928,0.25114,0.10144,2.04699,2.57032,2.26117,0.0092575,0.0092575,0.0092575
17,270.145,1.73416,2.00636,1.79058,0.33417,0.45754,0.38434,0.16059,2.16166,2.35523,2.31419,0.009208,0.009208,0.009208
18,285.202,1.64972,1.84746,1.70832,0.60296,0.40724,0.42439,0.17154,2.06859,2.13167,2.19887,0.0091585,0.0091585,0.0091585
19,300.282,1.65287,1.83562,1.71413,0.60492,0.31788,0.35658,0.14392,1.96342,2.42977,2.19625,0.009109,0.009109,0.009109
20,315.256,1.65725,1.82254,1.69426,0.41738,0.53684,0.50764,0.19952,1.92726,1.98955,2.12184,0.0090595,0.0090595,0.0090595
21,330.411,1.66006,1.81428,1.69843,0.62739,0.34831,0.34178,0.13523,2.04785,2.34442,2.19234,0.00901,0.00901,0.00901
22,345.373,1.62952,1.7437,1.67455,0.40631,0.44899,0.41409,0.15731,2.06246,2.24693,2.21452,0.0089605,0.0089605,0.0089605
23,360.576,1.62915,1.76628,1.6768,0.64725,0.41327,0.43961,0.18604,1.87824,2.11328,2.0789,0.008911,0.008911,0.008911
24,375.918,1.65892,1.85256,1.70326,0.43619,0.49237,0.43903,0.17796,1.96364,2.05541,2.17008,0.0088615,0.0088615,0.0088615
25,391.196,1.61404,1.7727,1.68209,0.78064,0.34072,0.47947,0.20906,1.90207,2.06145,2.10303,0.008812,0.008812,0.008812
26,406.139,1.64294,1.7924,1.69555,0.40113,0.45978,0.43397,0.19286,1.94127,2.10818,2.07921,0.0087625,0.0087625,0.0087625
27,421.058,1.60939,1.74761,1.67415,0.58626,0.38235,0.35387,0.14511,2.08778,2.35698,2.24131,0.008713,0.008713,0.008713
28,435.879,1.60885,1.72303,1.68479,0.62157,0.32608,0.38677,0.15089,2.08348,2.25357,2.22106,0.0086635,0.0086635,0.0086635
29,450.693,1.61631,1.76392,1.67598,0.51781,0.54456,0.52963,0.22515,1.90507,1.86808,2.12749,0.008614,0.008614,0.008614
30,465.865,1.573,1.69496,1.63713,0.4791,0.49362,0.47184,0.19915,1.89272,2.10473,2.10848,0.0085645,0.0085645,0.0085645
31,480.605,1.56456,1.67397,1.63275,0.41394,0.14735,0.10494,0.03571,2.78153,3.72037,3.11868,0.008515,0.008515,0.008515
32,495.692,1.6158,1.75809,1.6781,0.58513,0.21233,0.22058,0.08951,2.29211,3.59959,2.65539,0.0084655,0.0084655,0.0084655
33,510.355,1.59042,1.73939,1.65317,0.13404,0.19706,0.17476,0.07384,2.33476,3.3096,2.68055,0.008416,0.008416,0.008416
34,525.45,1.59293,1.71504,1.64977,0.66799,0.43811,0.49874,0.2116,1.93289,1.95339,2.09124,0.0083665,0.0083665,0.0083665
35,540.294,1.56941,1.66714,1.63121,0.44206,0.33389,0.36737,0.13948,2.14875,2.17837,2.22041,0.008317,0.008317,0.008317
36,555.103,1.55805,1.64264,1.626,0.56988,0.55088,0.56716,0.26618,1.76646,1.72916,1.91879,0.0082675,0.0082675,0.0082675
37,570.207,1.54471,1.61784,1.61738,0.43231,0.51059,0.47864,0.19838,2.02236,2.07828,2.05367,0.008218,0.008218,0.008218
38,585.075,1.53166,1.62698,1.61488,0.46288,0.55009,0.54359,0.24094,1.80314,1.89162,2.0334,0.0081685,0.0081685,0.0081685
39,600.118,1.54451,1.60857,1.60931,0.52732,0.51575,0.53811,0.23792,1.83323,1.76305,1.98886,0.008119,0.008119,0.008119
40,615.173,1.56685,1.58736,1.59796,0.37452,0.4507,0.4088,0.1745,2.02529,1.99539,2.19712,0.0080695,0.0080695,0.0080695
41,630.265,1.5659,1.65372,1.63086,0.51681,0.52501,0.47673,0.20719,1.87376,2.20851,2.09792,0.00802,0.00802,0.00802
42,645.256,1.52334,1.61387,1.61505,0.61545,0.41644,0.45722,0.20915,1.92669,2.0649,2.09037,0.0079705,0.0079705,0.0079705
43,660.664,1.5344,1.58589,1.61141,0.43925,0.1073,0.04738,0.01399,2.6316,4.63056,3.05303,0.007921,0.007921,0.007921
44,675.514,1.56784,1.64767,1.63065,0.46389,0.51944,0.58466,0.25541,1.81839,1.73146,1.94117,0.0078715,0.0078715,0.0078715
45,690.388,1.54253,1.59376,1.59594,0.60404,0.61256,0.66622,0.30888,1.75673,1.62455,1.89978,0.007822,0.007822,0.007822
46,705.304,1.50966,1.57109,1.60043,0.54714,0.3937,0.36427,0.15998,2.06645,2.34443,2.21557,0.0077725,0.0077725,0.0077725
47,720.057,1.51354,1.57489,1.60796,0.59737,0.56966,0.62404,0.28822,1.7408,1.6057,1.88228,0.007723,0.007723,0.007723
48,736.806,1.54394,1.61269,1.6179,0.65943,0.47796,0.55195,0.256,1.81562,1.75746,1.93939,0.0076735,0.0076735,0.0076735
49,751.583,1.53714,1.61683,1.60781,0.66409,0.46234,0.48684,0.21267,1.86698,1.92028,1.96029,0.007624,0.007624,0.007624
50,766.565,1.51025,1.56448,1.58251,0.65213,0.5254,0.56938,0.25466,1.82885,1.6763,1.9469,0.0075745,0.0075745,0.0075745
51,781.36,1.49377,1.53425,1.57905,0.71983,0.48118,0.59161,0.27166,1.80025,1.69864,1.93473,0.007525,0.007525,0.007525
52,796.404,1.49726,1.55283,1.5624,0.64125,0.45274,0.52522,0.23077,1.9469,1.85367,2.08659,0.0074755,0.0074755,0.0074755
53,811.193,1.47449,1.52323,1.56265,0.73848,0.45522,0.62135,0.30441,1.70644,1.6469,1.88606,0.007426,0.007426,0.007426
54,826.123,1.48128,1.53648,1.5689,0.71052,0.52596,0.63653,0.29888,1.75262,1.56801,1.867,0.0073765,0.0073765,0.0073765
55,841.047,1.51448,1.5587,1.57185,0.62557,0.47963,0.52695,0.24403,1.85888,1.85363,1.99108,0.007327,0.007327,0.007327
56,855.928,1.50391,1.52618,1.58419,0.47248,0.46057,0.44716,0.18463,1.99658,2.0707,2.18692,0.0072775,0.0072775,0.0072775
57,870.818,1.51063,1.51826,1.59233,0.73828,0.51928,0.62263,0.28692,1.73558,1.62809,1.90475,0.007228,0.007228,0.007228
58,885.53,1.467,1.48831,1.54837,0.5829,0.37594,0.37009,0.15982,2.08105,2.34601,2.24753,0.0071785,0.0071785,0.0071785
59,900.611,1.50369,1.5182,1.58095,0.68341,0.49916,0.51117,0.23233,1.86376,2.1479,2.0081,0.007129,0.007129,0.007129
60,915.296,1.4666,1.49229,1.57038,0.7186,0.49824,0.59384,0.27078,1.77773,1.71869,1.93212,0.0070795,0.0070795,0.0070795
61,930.382,1.49102,1.51572,1.5716,0.73159,0.48169,0.60616,0.29091,1.68252,1.65033,1.84376,0.00703,0.00703,0.00703
62,945.341,1.47689,1.5099,1.56746,0.58837,0.414,0.41969,0.17392,2.00581,2.20507,2.123,0.0069805,0.0069805,0.0069805
63,960.473,1.49727,1.53332,1.5782,0.48881,0.49789,0.48237,0.21881,1.94146,1.94148,2.05426,0.006931,0.006931,0.006931
64,978.017,1.49157,1.49238,1.55678,0.75146,0.51153,0.63232,0.29137,1.81814,1.57557,1.9318,0.0068815,0.0068815,0.0068815
65,993.204,1.44694,1.44772,1.53674,0.69096,0.40592,0.514,0.22812,1.84608,1.88447,2.00956,0.006832,0.006832,0.006832
66,1008.19,1.4936,1.48206,1.55111,0.54726,0.61735,0.59736,0.28862,1.69697,1.62251,1.84047,0.0067825,0.0067825,0.0067825
67,1023.21,1.46507,1.46475,1.55157,0.57954,0.59976,0.63537,0.30686,1.7073,1.58355,1.83069,0.006733,0.006733,0.006733
68,1038.1,1.46807,1.44659,1.54889,0.54781,0.59783,0.64748,0.30403,1.7337,1.56695,1.89644,0.0066835,0.0066835,0.0066835
69,1053.05,1.49479,1.48015,1.56706,0.53679,0.62497,0.6044,0.28245,1.76228,1.69476,1.85917,0.006634,0.006634,0.006634
70,1068,1.43372,1.45103,1.53347,0.55224,0.54275,0.58555,0.26578,1.82914,1.70283,1.95108,0.0065845,0.0065845,0.0065845
