epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9327,2.21799,3.6813,2.22759,0.19784,0.15586,0.00936,0.00287,4.29564,inf,10.6663,0.0032963,0.0032963,0.0703333
2,83.8605,2.11715,2.75128,2.1838,0.50343,0.03713,0.00372,0.00097,3.62188,31.5251,5.41391,0.00659681,0.00659681,0.0403005
3,108.191,2.00897,2.55474,2.04978,0.33793,0.04577,0.00395,0.00093,3.57817,21.775,4.12194,0.00986433,0.00986433,0.0102347
4,132.647,2.0119,2.54021,2.0545,0.44707,0.17887,0.06666,0.02117,2.85046,4.17957,2.97696,0.0098515,0.0098515,0.0098515
5,157.586,1.90058,2.28504,1.93341,0.10059,0.09853,0.06383,0.01953,3.04346,7.04659,3.51422,0.009802,0.009802,0.009802
6,181.652,1.89988,2.27797,1.95318,0.20177,0.22689,0.12879,0.0395,2.75016,2.83218,2.79992,0.0097525,0.0097525,0.0097525
7,206.08,1.85449,2.17986,1.8868,0.42044,0.3067,0.25784,0.10344,2.38007,2.63141,2.49432,0.009703,0.009703,0.009703
8,230.63,1.81611,2.14435,1.85389,0.40768,0.29416,0.26742,0.10643,2.21458,2.53192,2.38388,0.0096535,0.0096535,0.0096535
9,255.574,1.80936,2.09136,1.84113,0.57007,0.17893,0.18191,0.06841,2.60117,5.55931,2.86729,0.009604,0.009604,0.009604
10,280.464,1.81257,2.06517,1.81963,0.25171,0.33907,0.26116,0.09741,2.29391,2.566,2.36548,0.0095545,0.0095545,0.0095545
11,306.778,1.80499,2.08635,1.82036,0.68393,0.01123,0.00565,0.00226,3.34607,6.63135,3.93178,0.009505,0.009505,0.009505
12,331.516,1.75134,2.03932,1.80667,0.51692,0.30668,0.34262,0.12811,2.25621,2.39926,2.39297,0.0094555,0.0094555,0.0094555
